Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1771,19.51,996.66,0.31,0.06,1.00,400,0
2830,19.52,996.67,0.06,0.06,1.00,400,0
3889,19.51,996.67,0.00,0.00,1.00,400,0
4948,19.52,996.67,0.00,0.00,1.00,400,0
6007,19.52,996.66,0.00,0.00,1.06,400,0
7066,19.52,996.67,0.06,0.00,1.00,400,0
8125,19.52,996.67,0.06,0.00,0.94,400,0
9184,19.51,996.66,0.06,0.00,1.00,400,0
10243,19.51,996.67,0.13,0.13,1.19,400,0
11302,19.53,996.67,0.00,0.00,1.00,400,0
12361,19.52,996.67,0.06,0.00,1.00,400,0
13422,19.52,996.67,0.00,0.00,1.00,400,0
14481,19.53,996.66,0.00,0.00,1.00,400,0
15540,19.53,996.65,0.06,0.00,1.00,400,0
16599,19.55,996.65,0.06,0.00,0.94,400,0
17658,19.55,996.65,0.00,0.00,1.00,414,0
18717,19.58,996.65,0.06,0.00,1.00,400,0
19776,19.60,996.65,0.00,0.00,1.00,400,0
20835,19.59,996.65,0.06,0.00,1.00,400,0
21894,19.59,996.65,0.00,0.00,1.00,400,0
22953,19.59,996.65,0.06,0.00,1.00,400,0
24012,19.59,996.65,0.00,0.00,1.00,402,0
25074,19.60,996.66,0.06,0.00,1.00,403,0
26133,19.59,996.65,0.06,0.00,1.00,400,0
27194,19.59,996.66,0.00,0.00,1.00,411,2
28253,19.60,996.65,0.00,0.00,1.00,405,0
29312,19.59,996.65,0.06,0.00,1.00,409,0
30371,19.60,996.65,0.06,0.00,1.00,400,0
31430,19.60,996.65,0.00,0.00,1.00,411,5
32489,19.61,996.65,0.00,0.00,1.00,400,0
33548,19.61,996.66,0.06,0.00,1.00,401,0
34607,19.61,996.66,0.00,0.00,1.00,400,0
35666,19.60,996.66,0.00,0.00,1.00,408,0
36725,19.61,996.66,0.00,0.00,1.00,402,0
37784,19.61,996.66,0.06,0.00,1.00,409,0
38843,19.60,996.66,0.06,0.00,1.00,400,0
39904,19.60,996.66,0.00,0.00,1.00,400,0
40963,19.60,996.65,0.06,0.00,1.00,412,0
42022,19.61,996.66,0.00,0.00,1.00,407,0
43081,19.62,996.66,0.06,0.00,1.00,400,0
44140,19.62,996.66,0.06,0.00,1.00,407,0
45199,19.63,996.67,0.00,0.00,1.00,404,0
46258,19.62,996.67,0.06,0.00,1.00,409,7
47317,19.61,996.66,0.00,0.00,1.00,400,0
48376,19.63,996.67,0.00,0.00,1.00,415,7
49435,19.62,996.67,0.06,0.00,1.00,417,4
50494,19.63,996.67,0.00,0.00,1.00,408,0
51553,19.62,996.66,0.00,0.00,1.00,402,0
52612,19.63,996.66,0.00,0.00,1.00,400,0
53676,19.63,996.66,0.00,0.00,1.00,414,9
54735,19.64,996.66,0.00,0.00,1.00,400,0
55794,19.62,996.66,0.06,0.00,1.00,400,4
56853,19.63,996.67,0.00,0.00,1.00,402,0
57912,19.62,996.70,0.06,0.00,1.00,400,0
58971,19.63,996.67,0.00,0.00,1.00,402,0
60030,19.63,996.67,0.00,0.00,1.00,408,4
61089,19.64,996.67,0.00,0.00,1.00,400,0
62148,19.63,996.64,0.06,0.00,1.00,412,2
63207,19.63,996.67,0.06,0.00,1.00,404,0
64266,19.63,996.67,0.06,0.00,1.00,400,0
65325,19.63,996.67,0.00,0.00,1.00,400,4
66386,19.64,996.67,0.06,0.00,1.00,400,0
67445,19.63,996.68,0.06,0.00,1.00,403,4
68504,19.62,996.67,0.06,0.00,1.00,400,0
69563,19.62,996.67,0.00,0.00,1.00,400,2
70622,19.63,996.67,0.06,0.00,1.00,400,0
71681,19.63,996.67,0.06,0.00,1.00,400,0
72740,19.63,996.67,0.00,0.00,1.00,406,1
