Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1811,22.78,1000.59,-0.06,-0.06,1.19,400,0
2877,22.79,1000.59,0.19,0.00,1.00,400,0
3944,22.79,1000.59,0.06,-0.06,1.12,400,0
5011,22.79,1000.59,0.06,0.00,1.06,400,0
6078,22.79,1000.59,0.06,0.06,1.00,400,0
7145,22.78,1000.59,0.25,-1.00,0.44,400,0
8212,22.79,1000.58,0.06,-0.94,0.31,400,0
9279,22.79,1000.58,0.13,-0.81,0.50,400,0
10346,22.80,1000.58,0.06,0.00,1.00,400,0
11413,22.80,1000.59,0.06,0.00,1.00,400,0
12480,22.80,1000.60,0.00,0.06,0.88,400,0
13549,22.81,1000.59,0.06,0.00,1.00,400,0
14616,22.79,1000.59,0.06,0.00,1.00,400,0
15683,22.80,1000.59,0.13,-0.13,0.69,400,0
16751,22.78,1000.58,0.06,0.00,1.00,400,0
17818,22.79,1000.59,0.06,0.00,1.00,400,0
18885,22.78,1000.59,0.06,0.00,1.00,400,0
19952,22.78,1000.59,0.06,0.00,0.94,400,0
21020,22.79,1000.59,0.06,0.06,1.00,400,0
22087,22.79,1000.59,0.06,0.00,1.00,400,0
23154,22.80,1000.59,0.06,-0.06,1.00,400,0
24221,22.80,1000.59,0.13,0.00,0.69,400,0
25293,22.80,1000.59,0.00,0.06,1.06,400,0
26362,22.79,1000.59,0.06,0.00,1.00,400,0
27429,22.78,1000.59,0.06,0.00,1.00,400,0
28496,22.80,1000.59,0.06,0.00,1.00,400,0
29563,22.79,1000.59,0.00,0.00,1.00,400,0
30630,22.79,1000.58,0.06,0.00,1.00,400,0
31697,22.80,1000.58,0.06,0.00,1.00,400,0
32764,22.80,1000.59,0.06,0.00,1.00,400,0
33831,22.80,1000.58,-0.31,0.19,1.25,400,0
34898,22.79,1000.58,0.06,0.00,1.00,400,0
35965,22.80,1000.58,0.06,0.00,1.00,400,0
37032,22.80,1000.58,0.06,0.00,1.00,400,0
38099,22.79,1000.58,0.06,0.00,1.00,400,0
39168,22.80,1000.58,0.06,0.00,1.00,400,0
40235,22.80,1000.58,0.06,0.00,1.00,400,0
41302,22.80,1000.58,0.06,0.00,1.00,400,0
42369,22.80,1000.58,0.06,0.00,1.00,400,0
43436,22.79,1000.58,0.06,0.00,1.00,400,0
44503,22.80,1000.58,0.06,0.00,1.00,400,0
45570,22.80,1000.58,0.06,0.00,1.00,400,0
46637,22.80,1000.58,0.06,0.00,1.00,400,0
47704,22.80,1000.58,0.06,0.00,1.00,400,0
48771,22.80,1000.58,0.06,0.06,1.00,400,0
49838,22.80,1000.57,0.06,0.00,1.00,400,0
50905,22.79,1000.58,0.06,0.00,1.00,400,0
51972,22.81,1000.58,0.06,0.00,1.00,400,0
53041,22.81,1000.58,0.06,0.00,1.00,400,0
54112,22.80,1000.57,0.06,0.00,1.00,400,0
55179,22.81,1000.57,0.06,0.00,1.00,400,0
56246,22.80,1000.57,0.06,0.00,1.00,400,0
57314,22.81,1000.57,0.06,0.00,1.00,400,0
58381,22.82,1000.57,0.06,0.00,1.00,400,0
59448,22.81,1000.57,0.06,0.00,1.00,400,0
60515,22.81,1000.57,0.06,0.00,1.00,400,3
61582,22.82,1000.58,0.06,0.00,1.00,400,0
62649,22.82,1000.57,0.06,0.00,1.00,400,0
63716,22.82,1000.57,0.06,0.00,1.00,400,0
64783,22.81,1000.57,0.06,0.00,1.00,400,0
65853,22.82,1000.57,0.06,0.00,1.00,400,0
66920,22.82,1000.57,0.06,0.00,1.00,400,2
67987,22.82,1000.57,0.06,0.06,1.00,400,0
69054,22.82,1000.56,0.06,0.00,1.00,400,0
70122,22.81,1000.56,0.06,0.00,1.00,400,0
71189,22.83,1000.57,0.06,0.00,1.00,400,0
72256,22.82,1000.57,0.06,0.00,1.00,400,0
73323,22.82,1000.57,0.06,0.00,1.00,400,0
74391,22.83,1000.57,0.06,0.00,1.00,400,0
75458,22.83,1000.57,-0.06,-0.31,1.06,400,0
76525,22.82,1000.56,0.75,-0.75,0.06,400,0
77592,22.84,1000.56,0.88,-0.31,0.56,400,0
78661,22.84,1000.55,0.69,-0.56,0.50,400,0
79728,22.83,1000.56,0.13,-0.94,0.50,400,7
80795,22.86,1000.55,0.19,-0.19,1.00,400,0
81862,22.86,1000.51,0.44,0.00,0.75,400,11
82930,22.88,1000.50,0.44,-0.56,0.75,400,1
84002,22.89,1000.49,0.62,-0.50,0.69,400,0
85069,22.89,1000.49,0.62,-0.31,0.75,400,1
86136,22.90,1000.49,0.56,-0.31,0.81,400,0
87204,22.91,1000.49,0.62,-0.37,0.75,400,4
88271,22.93,1000.49,0.37,-0.50,0.81,416,9
89338,22.93,1000.49,0.56,-0.25,0.81,505,14
90405,22.96,1000.49,0.50,-0.31,0.81,539,26
91474,22.96,1000.49,0.62,0.31,0.81,477,18
92541,22.96,1000.49,0.56,0.25,0.81,431,12
93608,22.96,1000.49,0.69,-0.13,0.75,438,11
94675,23.01,1000.50,0.69,-0.19,0.75,580,27
95742,23.01,1000.50,0.00,0.13,1.00,577,29
96809,23.01,1000.50,0.50,0.06,0.88,486,13
97876,23.01,1000.50,0.13,0.06,0.94,400,0
98943,23.03,1000.50,0.06,-0.06,1.00,400,0
100010,23.04,1000.49,0.75,-0.19,0.69,400,0
101077,23.05,1000.48,0.94,0.00,0.44,400,0
102144,23.06,1000.48,0.75,0.00,0.75,400,0
103211,23.07,1000.48,0.75,0.13,0.94,498,15
104280,23.09,1000.49,0.44,-0.37,0.88,405,4
105347,23.08,1000.49,0.44,-0.62,0.75,400,0
106414,23.09,1000.49,0.50,-0.50,0.81,400,0
107481,23.10,1000.49,0.50,-0.19,0.75,400,0
108548,23.10,1000.49,0.31,-0.56,0.75,400,0
109615,23.10,1000.50,0.19,-0.69,0.75,400,0
110682,23.10,1000.50,0.25,-0.75,0.62,400,0
111749,23.11,1000.50,0.06,0.13,0.94,400,0
112816,23.12,1000.50,0.25,0.13,1.00,400,0
113889,23.11,1000.51,0.37,-0.13,1.06,400,0
114956,23.13,1000.50,0.56,-0.62,0.62,400,0
116026,23.13,1000.50,0.44,-0.37,0.81,400,0
117093,23.14,1000.51,0.37,-0.56,0.69,400,0
118160,23.13,1000.54,-0.25,0.00,1.00,400,0
119228,23.13,1000.55,0.06,0.00,1.06,400,0
120295,23.13,1000.55,0.06,0.00,1.00,400,0
