Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1792,21.29,995.07,0.06,0.00,1.00,400,0
2858,21.29,995.07,0.06,0.00,0.94,400,0
3925,21.30,995.07,0.06,0.00,1.00,400,0
4992,21.31,995.07,0.06,-0.06,1.00,400,0
6059,21.31,995.07,0.06,0.00,1.00,400,0
7126,21.31,995.07,0.06,0.06,1.00,400,0
8193,21.32,995.07,0.06,-0.06,1.00,400,0
9260,21.31,995.06,0.06,0.00,1.00,400,0
10327,21.33,995.07,0.06,0.00,1.00,400,0
11394,21.33,995.06,0.06,-0.06,0.94,400,0
12461,21.34,995.06,0.06,0.06,1.00,400,0
13530,21.34,995.06,0.06,0.00,1.00,400,0
14597,21.33,995.06,0.06,0.00,1.00,400,0
15665,21.35,995.07,0.00,0.00,1.06,400,0
16732,21.34,995.06,0.06,0.00,1.06,400,0
17799,21.35,995.07,0.06,0.00,1.00,400,0
18866,21.35,995.07,0.06,0.00,1.00,400,0
19934,21.36,995.08,0.06,0.00,1.00,400,0
21001,21.36,995.08,0.06,0.00,1.06,400,0
22068,21.37,995.08,0.06,0.00,1.00,400,0
23135,21.38,995.08,0.06,0.00,1.00,400,0
24203,21.39,995.08,0.06,0.00,1.00,400,0
25274,21.38,995.07,0.06,0.00,1.00,400,0
26341,21.40,995.08,0.06,0.00,1.00,400,0
27410,21.40,995.08,0.06,0.00,1.00,400,0
28477,21.42,995.08,0.06,0.00,1.00,400,0
29544,21.41,995.09,0.06,0.00,1.00,400,0
30611,21.41,995.09,0.06,0.00,1.00,400,0
31679,21.42,995.08,0.06,0.06,1.00,400,0
32746,21.42,995.07,0.06,0.00,1.00,400,0
33813,21.42,995.05,0.19,0.25,0.94,400,0
34880,21.42,995.05,0.06,0.00,1.00,400,0
35948,21.42,995.04,0.06,0.00,1.00,400,0
37015,21.43,995.05,0.06,0.00,1.00,400,0
38082,21.44,995.06,0.06,-0.06,0.37,400,0
39149,21.42,995.06,0.00,0.00,1.00,400,0
40218,21.45,995.07,0.00,-0.44,1.00,400,0
41285,21.45,995.06,0.13,-0.25,-0.37,400,0
42352,21.45,995.05,0.00,-0.06,1.00,400,0
43419,21.44,995.05,0.06,0.06,1.06,400,0
44487,21.45,995.05,0.06,0.00,0.94,400,0
45554,21.45,995.05,0.06,0.19,0.56,400,0
