Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1798,22.46,994.87,0.13,0.13,0.94,400,0
2864,22.47,994.86,0.06,0.00,1.00,400,0
3931,22.46,994.86,0.06,0.00,1.00,400,0
4998,22.47,994.86,0.06,0.06,1.00,400,0
6065,22.49,994.85,0.06,0.00,1.00,400,0
7132,22.48,994.86,0.06,0.00,1.06,400,0
8199,22.48,994.86,0.06,0.00,1.00,400,0
9266,22.49,994.86,0.06,0.00,1.00,400,0
10333,22.48,994.85,0.06,0.00,1.00,400,0
11400,22.48,994.86,0.06,0.00,1.00,400,0
12467,22.49,994.85,0.06,0.00,0.88,400,0
13536,22.50,994.85,0.06,0.06,1.06,400,0
14603,22.51,994.85,0.06,0.00,1.00,400,0
15671,22.49,994.85,0.94,0.19,0.31,400,0
16738,22.51,994.84,1.00,0.00,0.19,400,0
17805,22.50,994.85,0.81,-0.69,0.37,400,0
18872,22.51,994.85,0.94,-0.50,0.13,400,0
19940,22.53,994.85,0.75,-0.56,0.19,400,0
21007,22.55,994.86,0.81,-0.62,-0.13,400,4
22074,22.54,994.86,0.81,-0.62,-0.19,418,0
23141,22.56,994.86,0.81,-0.62,-0.19,417,0
24209,22.58,994.86,0.94,0.50,0.06,430,0
25281,22.57,994.85,0.88,-0.50,0.06,401,0
26349,22.58,994.86,0.00,-1.06,0.25,400,0
27418,22.59,994.86,0.19,0.13,0.19,412,5
28486,22.59,994.84,0.31,-0.44,-0.37,400,0
29554,22.60,994.84,-0.06,-1.12,0.25,400,0
30621,22.61,994.84,-0.06,0.19,0.50,400,0
31688,22.61,994.86,0.06,0.00,1.00,400,0
32755,22.64,994.87,0.06,0.00,1.00,400,3
33822,22.63,994.87,0.06,0.06,1.00,400,0
34889,22.63,994.87,0.06,0.00,1.00,400,1
35956,22.62,994.87,0.06,0.00,1.00,400,0
37023,22.63,994.86,0.06,0.00,1.00,400,0
38090,22.63,994.85,0.06,0.00,1.00,400,0
39157,22.64,994.86,0.06,0.00,1.00,400,0
40226,22.64,994.85,0.06,0.00,1.00,400,0
41293,22.64,994.85,0.06,0.00,1.00,400,0
42360,22.64,994.85,0.06,0.00,1.00,400,0
43427,22.64,994.85,0.06,0.06,1.00,400,0
44494,22.65,994.85,0.06,0.00,1.00,400,0
45561,22.65,994.85,0.06,0.00,1.00,400,0
46628,22.65,994.85,0.06,0.00,1.00,400,5
47695,22.65,994.85,0.06,0.00,1.00,400,0
48762,22.65,994.86,0.06,0.00,1.00,414,0
49829,22.65,994.85,0.06,0.00,1.00,400,0
50896,22.64,994.85,0.06,0.00,1.00,400,0
51963,22.64,994.85,0.06,0.00,1.00,400,0
53030,22.66,994.85,0.06,0.00,1.00,409,0
54102,22.66,994.85,0.06,0.00,1.00,405,0
55169,22.65,994.85,0.06,0.00,1.00,400,0
56236,22.66,994.86,0.06,0.00,1.00,407,0
57303,22.65,994.85,0.06,0.00,1.00,400,3
58370,22.65,994.85,0.06,0.00,1.00,400,0
59437,22.65,994.85,0.06,0.00,1.00,400,0
60504,22.66,994.84,0.06,0.00,1.00,400,0
61571,22.65,994.84,0.06,0.00,1.00,409,0
62638,22.66,994.85,0.06,0.00,1.00,400,3
63705,22.65,994.84,0.06,0.00,1.00,401,0
64772,22.66,994.84,0.06,0.00,1.00,409,9
65839,22.65,994.84,0.06,0.00,1.00,404,5
66908,22.66,994.84,0.06,0.00,1.00,400,0
67975,22.66,994.84,0.06,0.00,1.00,400,0
69042,22.65,994.85,0.06,0.00,1.00,403,0
70109,22.66,994.85,0.06,0.00,1.00,400,5
71176,22.66,994.85,0.06,0.00,1.00,400,0
72243,22.65,994.85,0.06,0.00,1.00,401,2
73310,22.66,994.85,0.06,0.00,1.00,400,0
74377,22.66,994.85,0.06,0.00,1.00,402,0
75444,22.66,994.85,0.06,0.00,1.00,400,0
76511,22.66,994.85,0.06,0.00,1.00,400,1
77578,22.67,994.84,0.06,0.00,1.00,401,0
78645,22.66,994.84,0.06,0.00,1.00,400,3
79712,22.67,994.84,0.06,0.00,1.00,405,0
80778,22.67,994.85,0.06,0.00,1.00,405,0
81845,22.67,994.85,0.06,0.00,1.00,403,2
82912,22.67,994.84,0.06,0.00,1.00,408,8
83983,22.66,994.84,0.06,0.00,1.00,402,0
85050,22.66,994.84,0.06,0.00,1.00,409,3
86118,22.66,994.84,0.06,0.00,1.00,400,0
87185,22.67,994.85,0.06,0.00,1.00,400,0
88252,22.67,994.84,0.06,0.00,1.00,408,0
89319,22.68,994.85,0.06,0.00,1.00,406,0
90386,22.67,994.85,0.06,0.00,1.00,400,0
91453,22.67,994.85,0.06,0.00,1.00,413,6
92520,22.67,994.85,0.06,0.00,1.00,410,0
93589,22.68,994.85,0.06,0.00,1.00,404,1
94656,22.68,994.85,0.06,0.00,1.00,400,0
95723,22.68,994.84,0.06,0.00,1.00,406,3
96790,22.69,994.84,0.06,0.00,1.00,400,0
97857,22.69,994.83,0.06,0.00,1.00,400,0
98924,22.69,994.84,0.06,0.06,1.00,400,0
99991,22.69,994.83,0.06,0.00,1.00,400,3
101058,22.70,994.83,0.06,0.00,1.00,400,0
102125,22.70,994.82,0.06,0.00,1.00,405,2
103192,22.69,994.82,0.06,0.00,1.00,400,0
104259,22.71,994.82,0.06,0.00,1.00,405,0
105326,22.69,994.83,0.06,0.00,1.00,400,0
106395,22.70,994.82,0.06,0.00,1.00,400,0
107462,22.70,994.83,0.06,0.00,1.00,405,0
108529,22.71,994.83,0.06,0.00,1.00,404,0
109596,22.70,994.83,0.06,0.00,1.00,400,0
110663,22.70,994.83,0.06,0.00,1.00,402,0
111730,22.71,994.83,0.06,0.00,1.00,406,0
112797,22.70,994.83,0.06,0.00,1.00,417,0
113868,22.71,994.84,0.06,0.00,1.00,407,5
114935,22.71,994.84,0.06,0.00,1.00,400,0
116002,22.72,994.84,0.06,0.00,1.00,400,0
117069,22.71,994.83,0.06,0.00,1.00,403,0
118136,22.71,994.82,0.06,0.00,1.00,403,0
119203,22.73,994.83,0.06,0.00,1.00,400,0
120272,22.73,994.83,0.06,0.00,1.00,400,0
121339,22.72,994.83,0.06,0.00,1.00,405,0
122406,22.71,994.82,0.06,0.00,1.00,403,0
123474,22.73,994.81,0.06,0.06,1.00,402,0
124541,22.72,994.82,0.06,0.00,1.00,400,0
125608,22.73,994.81,0.06,0.00,1.00,409,0
126675,22.74,994.82,0.06,0.00,1.00,406,0
127742,22.74,994.81,0.06,0.00,1.00,404,0
128809,22.74,994.81,0.06,0.00,1.00,407,0
129876,22.74,994.82,0.06,0.00,1.00,411,0
130943,22.74,994.83,0.06,0.00,1.00,403,0
132010,22.75,994.84,0.06,0.00,1.00,400,0
133079,22.74,994.84,0.06,0.00,1.00,414,0
134146,22.75,994.84,0.06,0.00,1.00,412,0
135213,22.75,994.84,0.06,0.00,1.00,408,0
136280,22.75,994.83,0.06,0.00,1.00,423,0
137347,22.75,994.82,0.06,0.00,1.00,415,0
138414,22.76,994.82,0.06,0.00,1.00,411,0
139481,22.76,994.82,0.06,0.00,1.00,412,0
140548,22.76,994.82,0.06,0.00,1.00,409,0
