Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1821,22.59,874.75,0.06,0.00,1.06,400,0
2887,22.60,874.75,0.06,0.00,1.00,400,0
3954,22.61,874.75,0.00,0.13,1.12,400,0
5021,22.60,874.75,0.00,-0.06,0.94,400,0
6088,22.60,874.75,0.25,-1.12,-0.06,400,0
7155,22.61,874.76,0.06,0.06,1.00,400,0
8222,22.60,874.75,0.06,0.06,1.00,400,0
9289,22.60,874.75,0.06,0.13,1.00,400,0
10356,22.61,874.75,0.06,0.00,1.00,400,0
11423,22.60,874.75,0.06,0.06,1.00,400,0
12490,22.61,874.76,0.06,0.06,1.00,400,0
13559,22.61,874.75,0.06,0.06,1.00,400,0
14626,22.60,874.75,0.06,0.06,1.00,400,0
15694,22.61,874.76,0.06,0.06,1.00,400,0
16761,22.60,874.75,0.06,0.06,1.00,400,0
17828,22.61,874.75,0.06,0.06,1.00,400,0
18895,22.62,874.75,0.06,0.06,1.00,400,0
19963,22.61,874.75,0.06,0.06,1.00,400,0
21030,22.62,874.75,0.06,0.06,1.00,400,0
22097,22.62,874.75,0.06,0.06,1.00,400,0
23165,22.62,874.75,0.06,0.06,1.00,400,0
24233,22.61,874.74,0.06,0.06,1.00,400,0
25305,22.61,874.75,0.06,0.06,1.00,400,0
26372,22.62,874.75,0.06,0.06,1.00,400,0
27441,22.62,874.75,0.06,0.06,1.00,400,0
28509,22.62,874.75,0.06,0.06,1.00,400,0
29576,22.63,874.75,0.06,0.06,1.00,400,0
30643,22.61,874.74,0.06,0.06,1.00,400,0
31710,22.62,874.75,0.06,0.06,1.00,400,0
32778,22.62,874.73,0.06,0.06,1.00,400,0
33845,22.62,874.74,0.06,0.06,1.00,400,0
34912,22.62,874.74,0.06,0.06,1.00,400,0
35979,22.62,874.75,0.06,0.06,1.00,400,0
37047,22.61,874.75,0.06,0.06,1.00,400,0
38114,22.61,874.75,0.06,0.00,0.94,400,0
39181,22.62,874.75,0.06,0.00,1.00,400,0
40251,22.61,874.75,0.06,0.06,1.00,400,0
41318,22.62,874.75,0.06,0.06,1.00,400,0
42385,22.62,874.74,0.06,0.06,1.00,400,0
43452,22.62,874.75,0.06,0.06,1.00,400,0
44520,22.61,874.75,0.06,0.06,1.00,400,6
45587,22.63,874.76,0.06,0.06,1.00,400,1
46654,22.62,874.74,0.06,0.06,1.00,400,0
47721,22.62,874.75,0.06,0.06,1.00,400,0
48789,22.63,874.75,0.06,0.06,1.00,400,0
49856,22.62,874.75,0.06,0.06,1.00,400,0
50923,22.62,874.75,0.06,0.06,1.00,400,0
51990,22.62,874.75,0.06,0.06,1.00,400,0
53058,22.62,874.75,0.13,-0.06,0.81,400,0
54131,22.64,874.75,0.06,0.06,1.00,400,0
55199,22.63,874.75,0.13,0.31,0.94,400,0
