Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1812,22.86,874.34,0.06,0.06,1.00,400,0
2878,22.85,874.33,0.06,0.06,1.00,400,0
3945,22.84,874.32,0.06,0.06,1.00,400,0
5012,22.86,874.33,0.06,0.06,1.00,400,0
6079,22.86,874.33,0.06,0.06,1.00,400,0
7146,22.86,874.32,0.06,0.00,0.62,400,0
8213,22.87,874.33,0.06,0.06,1.00,400,0
9280,22.90,874.34,0.06,0.06,1.00,400,0
10347,22.88,874.34,0.06,0.06,1.00,400,0
11414,22.90,874.34,0.06,0.13,0.81,400,0
12481,22.92,874.34,0.06,0.00,0.94,400,0
13550,22.91,874.33,0.06,0.06,1.00,400,0
14617,22.92,874.34,0.06,0.06,1.00,400,0
15684,22.92,874.34,0.06,0.06,1.00,400,0
16751,22.91,874.32,0.06,0.06,1.00,400,0
17818,22.92,874.33,0.06,0.06,1.00,400,0
18885,22.92,874.33,0.06,0.00,1.00,400,0
19952,22.91,874.32,0.06,0.06,1.00,400,0
21019,22.92,874.33,0.06,0.06,1.00,400,0
22086,22.91,874.33,0.06,0.06,1.00,400,0
23153,22.93,874.32,0.06,0.06,1.00,400,0
24220,22.91,874.32,0.06,0.06,1.00,400,0
25292,22.91,874.32,0.06,0.06,1.00,400,0
26359,22.92,874.32,0.06,0.06,1.00,400,0
27428,22.92,874.32,0.06,0.00,1.00,400,0
28496,22.91,874.32,0.06,0.06,1.00,400,0
29563,22.91,874.32,0.06,0.00,1.00,400,0
30630,22.91,874.32,0.06,0.06,1.00,400,0
31697,22.92,874.32,0.06,0.06,1.00,400,0
32765,22.92,874.33,0.06,0.06,1.00,400,0
33832,22.91,874.33,0.06,0.00,1.00,400,0
34899,22.91,874.32,0.06,0.00,1.06,400,0
35966,22.92,874.32,0.06,0.06,1.00,400,0
37034,22.92,874.32,0.06,0.06,1.00,400,0
38101,22.93,874.32,0.06,0.06,1.00,400,0
39169,22.94,874.32,0.06,0.06,1.00,400,0
40238,22.93,874.32,0.06,0.06,1.00,400,0
41306,22.92,874.32,0.06,0.06,1.00,400,0
42373,22.93,874.33,0.06,0.06,1.00,400,0
43440,22.92,874.32,0.06,0.06,1.00,400,0
44507,22.94,874.33,0.06,0.06,1.00,400,0
45575,22.92,874.33,-0.06,0.13,1.12,400,0
46642,22.93,874.33,0.06,0.06,1.00,400,0
47709,22.93,874.32,0.06,0.06,1.00,400,0
48776,22.93,874.32,0.06,0.06,1.00,400,0
49844,22.93,874.33,0.06,0.06,1.00,400,0
50911,22.95,874.33,0.06,0.06,1.00,400,0
51978,22.94,874.33,0.06,0.06,1.00,400,2
53045,22.94,874.33,0.06,0.06,1.00,400,0
54119,22.94,874.33,0.06,0.06,1.00,407,8
55187,22.95,874.33,0.06,0.06,1.00,400,0
56254,22.95,874.33,0.06,0.06,1.00,400,0
57322,22.94,874.32,0.06,0.06,1.00,406,0
58389,22.95,874.33,0.06,0.06,1.00,402,0
59456,22.95,874.33,0.06,0.06,1.00,437,0
60523,22.96,874.33,0.06,0.06,1.00,430,0
61590,22.96,874.33,0.06,0.06,1.00,404,0
62657,22.96,874.32,0.06,0.06,1.00,400,0
63724,22.96,874.33,0.06,0.06,1.00,400,0
64791,22.97,874.33,0.06,0.06,1.00,400,0
65858,22.96,874.33,0.06,0.06,1.00,400,0
66927,22.97,874.33,0.06,0.06,1.00,400,0
67994,22.97,874.33,0.06,0.06,1.00,400,0
69061,22.98,874.33,0.06,0.06,1.00,539,0
70128,22.98,874.32,0.06,0.06,1.00,560,0
71195,22.99,874.34,0.06,0.06,1.00,547,9
72262,23.00,874.34,0.06,0.06,1.00,532,3
73329,22.99,874.34,0.06,0.06,1.00,526,12
74396,23.00,874.33,0.06,0.06,1.00,459,0
75464,22.99,874.33,0.06,0.06,1.00,411,0
76531,23.01,874.33,0.06,0.06,1.00,400,0
77598,23.01,874.33,0.06,0.06,1.00,400,0
78665,23.01,874.33,0.06,0.06,1.00,400,0
79732,23.01,874.33,0.06,0.06,1.00,400,0
80801,23.03,874.34,0.06,0.06,1.00,453,3
81869,23.03,874.33,0.06,0.00,1.00,455,4
82936,23.02,874.33,0.06,0.06,1.00,411,0
84008,23.02,874.33,0.06,0.06,1.00,400,0
85075,23.02,874.33,0.06,0.06,1.00,400,0
86143,23.01,874.34,0.06,0.06,1.00,400,0
87210,23.02,874.34,0.06,0.06,1.00,400,0
88277,23.02,874.34,0.06,0.06,1.00,400,0
89344,23.02,874.33,0.06,0.06,1.00,400,0
