Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1778,21.00,994.31,0.06,0.06,1.00,400,0
2844,21.03,994.31,0.19,0.19,0.94,400,0
3911,21.02,994.30,0.81,-0.19,0.69,400,0
4978,21.02,994.30,0.62,-0.06,0.81,400,0
6045,21.03,994.30,0.69,0.00,0.81,400,0
7112,21.04,994.30,0.69,0.00,0.75,400,0
8179,21.04,994.31,0.75,-0.06,0.56,400,0
9246,21.03,994.30,0.69,0.00,0.75,400,0
10313,21.05,994.30,0.75,0.00,0.69,400,0
11380,21.05,994.30,0.69,0.00,0.75,400,0
12447,21.06,994.30,0.06,0.06,0.88,400,0
