Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1768,19.52,996.64,0.06,0.50,0.88,400,0
2827,19.53,996.65,0.06,0.44,0.88,400,0
3886,19.52,996.64,0.00,0.44,0.88,400,0
4945,19.51,996.64,0.06,0.44,0.88,400,0
6004,19.52,996.64,0.06,0.44,0.94,400,0
7063,19.53,996.64,0.06,0.44,0.88,400,0
8122,19.54,996.64,0.25,0.00,-1.00,400,0
9181,19.52,996.63,0.25,-0.19,-1.00,400,0
10240,19.54,996.64,0.06,0.50,0.88,400,0
11299,19.55,996.65,0.06,0.44,0.88,400,0
12358,19.55,996.65,0.06,0.44,0.88,400,0
13419,19.55,996.65,0.06,0.44,0.88,400,0
14478,19.56,996.65,0.06,0.44,0.94,400,0
15537,19.55,996.65,0.06,0.44,0.94,400,0
16596,19.56,996.65,0.06,0.44,0.94,400,0
17655,19.57,996.65,0.06,0.37,0.94,400,0
18714,19.57,996.65,0.06,0.37,0.94,400,0
19773,19.57,996.64,0.06,0.37,0.94,400,0
20832,19.56,996.65,0.06,0.37,0.94,400,0
21891,19.58,996.64,0.06,0.37,0.94,400,0
22950,19.58,996.65,0.06,0.37,0.94,400,0
24009,19.58,996.65,0.06,0.31,0.94,400,0
25073,19.58,996.65,0.06,0.37,0.94,400,0
26132,19.57,996.65,0.06,0.37,0.94,400,0
27193,19.58,996.65,0.06,0.37,0.94,400,0
28252,19.60,996.66,0.06,0.37,0.94,400,0
29311,19.60,996.66,0.06,0.37,0.94,400,0
30370,19.58,996.65,0.06,0.31,0.94,400,0
31429,19.58,996.66,0.06,0.31,0.94,400,0
32488,19.59,996.66,0.00,0.37,0.94,400,0
33547,19.59,996.65,0.06,0.31,0.94,400,0
34606,19.58,996.65,0.06,0.37,0.94,400,0
35665,19.59,996.65,0.06,0.31,0.94,400,0
36724,19.58,996.65,0.00,0.31,0.94,400,0
37783,19.59,996.65,0.06,0.31,0.94,400,0
38842,19.59,996.66,0.06,0.31,0.94,400,0
39903,19.59,996.65,0.06,0.31,0.94,400,0
40962,19.58,996.65,0.06,0.31,0.94,400,0
42021,19.58,996.65,0.06,0.31,0.94,400,0
43080,19.58,996.64,0.06,0.31,0.94,400,0
44139,19.58,996.64,0.06,0.31,0.94,400,0
45198,19.58,996.65,0.06,0.31,0.94,400,3
