Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1765,22.31,994.98,0.06,0.00,1.00,400,0
2824,22.31,994.98,0.06,0.06,1.00,400,0
3883,22.30,994.98,0.06,0.00,1.00,400,0
4942,22.30,994.97,0.06,0.00,1.00,400,0
6001,22.31,994.97,0.06,0.00,1.00,400,0
7060,22.31,994.96,0.06,0.00,1.00,400,0
8119,22.31,994.95,0.06,0.00,1.00,400,0
9178,22.31,994.96,0.06,0.00,1.00,400,0
10237,22.31,994.95,0.06,0.00,1.00,400,0
11296,22.30,994.96,0.06,0.00,1.00,400,0
12355,22.31,994.94,0.06,0.00,1.00,400,0
13416,22.31,994.94,0.06,0.00,1.00,400,0
14475,22.31,994.95,0.06,0.00,1.00,400,0
15534,22.32,994.95,0.06,0.00,1.00,400,0
16593,22.32,994.95,0.06,0.00,1.00,400,0
17652,22.31,994.94,0.06,0.00,1.00,400,0
18711,22.31,994.95,0.06,0.00,1.00,400,0
19770,22.31,994.95,0.06,0.00,1.00,400,0
20829,22.31,994.95,0.06,0.00,1.00,400,0
21888,22.31,994.96,0.06,0.00,1.00,400,0
22947,22.31,994.96,0.06,0.00,1.00,400,0
24006,22.31,994.95,0.06,0.00,1.00,400,0
25070,22.31,994.96,0.06,0.00,1.00,400,0
26129,22.30,994.96,0.06,0.00,1.00,400,0
27190,22.31,994.96,0.06,0.00,1.00,400,0
28249,22.31,994.95,0.06,0.00,1.00,400,0
29308,22.31,994.96,0.06,0.00,1.00,400,0
30367,22.30,994.96,0.06,0.00,1.00,400,0
31426,22.30,994.96,0.06,0.00,1.00,400,0
32485,22.32,994.96,0.06,0.00,1.00,400,0
33544,22.32,994.96,0.06,0.00,1.00,400,0
34603,22.31,994.96,0.06,0.00,1.00,400,0
35662,22.32,994.96,0.06,0.00,1.00,400,0
36721,22.32,994.96,0.06,0.00,1.00,400,0
37780,22.32,994.95,0.06,0.00,1.00,400,0
38839,22.32,994.94,0.06,0.00,1.00,400,0
39900,22.33,994.96,0.06,0.00,1.00,400,0
40959,22.31,994.95,0.06,0.00,1.00,400,0
42018,22.33,994.96,0.06,0.00,1.00,400,0
43077,22.33,994.97,0.06,0.00,1.00,400,0
44136,22.32,994.97,0.06,0.00,1.00,400,0
45195,22.33,994.98,0.06,0.00,1.00,400,0
46254,22.34,994.98,0.06,0.00,1.00,400,0
47313,22.34,994.97,0.06,0.00,1.00,400,0
48372,22.34,994.97,0.06,0.00,1.00,400,0
49431,22.33,994.95,0.06,0.00,1.00,400,0
50490,22.34,994.97,0.06,0.00,1.00,400,0
51549,22.34,994.97,0.06,0.00,1.00,400,0
52608,22.33,994.97,0.06,0.00,1.00,400,0
53672,22.34,994.98,0.06,0.00,1.00,400,0
54731,22.35,994.99,0.06,0.00,1.00,400,0
55790,22.34,994.97,0.06,0.00,1.00,400,0
56849,22.35,994.97,0.06,0.00,1.00,400,0
57908,22.35,994.98,0.06,0.00,1.00,400,0
58967,22.34,994.98,0.06,0.00,1.00,400,0
60026,22.33,994.98,0.06,0.00,1.00,400,0
61085,22.34,994.98,0.06,0.00,1.00,400,0
62144,22.34,994.99,0.06,0.00,1.00,400,0
63203,22.34,994.99,0.06,0.00,1.00,400,0
64262,22.34,994.98,0.06,0.00,1.00,400,0
65321,22.33,994.98,0.06,0.00,1.00,400,1
66382,22.34,994.98,0.06,0.00,1.00,400,0
67441,22.35,994.98,0.06,0.00,1.00,400,0
68500,22.35,994.98,0.06,0.00,1.00,400,0
69559,22.35,994.98,0.06,0.00,1.00,400,2
70618,22.36,994.98,0.06,0.00,1.00,400,0
71677,22.36,994.99,0.06,0.00,1.00,400,0
72736,22.36,994.98,0.06,0.00,1.00,400,0
73795,22.36,994.97,0.06,0.00,1.00,400,0
74854,22.38,994.98,0.06,0.00,1.00,400,0
75913,22.35,994.98,0.06,0.00,1.00,400,1
76972,22.36,994.98,0.06,0.00,1.00,400,0
78031,22.37,994.98,0.06,0.00,1.00,400,0
79090,22.37,994.98,0.06,0.00,1.00,400,0
80151,22.37,994.98,0.06,0.00,1.00,400,0
81210,22.36,994.97,0.06,0.00,1.00,400,0
82269,22.38,994.97,0.06,0.00,1.00,400,2
83333,22.38,994.97,0.06,0.00,1.00,400,0
84392,22.39,994.97,0.06,0.00,1.00,400,0
85451,22.38,994.97,0.06,0.00,1.00,400,0
86510,22.38,994.97,0.06,0.00,1.00,400,0
87569,22.40,994.96,0.06,0.00,1.00,400,0
88628,22.39,994.97,0.06,0.00,1.00,400,0
89687,22.39,994.98,0.06,0.00,1.00,400,0
90746,22.39,994.98,0.06,0.00,1.00,400,0
91805,22.39,994.98,0.06,0.00,1.00,400,6
92866,22.40,994.98,0.06,0.00,1.00,400,0
93925,22.39,994.97,0.06,0.00,1.00,400,0
94983,22.41,994.99,0.06,0.00,1.00,400,1
96042,22.39,994.98,0.06,0.00,1.00,400,0
97101,22.41,994.98,0.06,0.00,1.00,400,0
98160,22.42,994.98,0.06,0.00,1.00,400,6
99219,22.40,994.99,0.06,0.00,1.00,400,0
100278,22.41,994.99,0.06,0.00,1.00,400,0
101337,22.42,994.98,0.06,0.00,1.00,400,5
102396,22.42,994.98,0.06,0.00,1.00,400,0
103455,22.42,994.98,0.06,0.00,1.00,400,0
104514,22.43,994.98,0.06,0.00,1.00,400,0
105573,22.42,994.98,0.06,0.00,1.00,400,0
106634,22.42,994.98,0.06,0.00,1.00,400,0
107693,22.44,994.98,0.06,0.00,1.00,400,1
108752,22.43,994.98,0.06,0.00,1.00,400,0
109811,22.44,994.98,0.06,0.00,1.00,400,0
110870,22.45,994.99,0.06,0.00,1.00,400,0
111929,22.45,994.98,0.06,0.00,1.00,400,0
112990,22.45,994.98,0.06,0.00,1.00,400,0
114049,22.46,994.98,0.06,0.00,1.00,400,0
115108,22.45,994.97,0.06,0.00,1.00,400,0
116167,22.45,994.97,0.06,0.00,1.00,400,0
117226,22.45,994.97,0.06,0.00,1.00,400,0
118285,22.46,994.97,0.06,0.00,1.00,400,0
119346,22.47,994.98,0.06,0.00,1.00,400,0
120405,22.46,994.99,0.06,0.00,1.00,405,0
121464,22.46,994.98,0.06,0.00,1.00,404,0
122523,22.47,994.98,0.06,0.00,1.00,400,0
123582,22.47,994.98,0.06,0.00,1.00,400,0
124641,22.48,994.97,0.06,0.00,1.00,407,0
125700,22.47,994.97,0.06,0.00,1.00,400,0
126759,22.48,994.98,0.06,0.00,1.00,400,0
127818,22.49,994.98,0.06,0.00,1.00,400,0
128877,22.50,994.98,0.06,0.00,1.00,400,0
129936,22.50,994.98,0.06,0.00,1.00,400,0
130995,22.51,994.98,0.06,0.00,1.00,410,0
132056,22.51,994.97,0.06,0.00,1.00,412,0
133115,22.51,994.97,0.06,0.00,1.00,400,0
134174,22.51,994.97,0.06,0.00,1.00,416,0
135233,22.52,994.97,0.06,0.00,1.00,402,0
136292,22.52,994.96,0.06,0.00,1.00,405,0
137351,22.51,994.96,0.06,0.00,1.00,401,0
138410,22.52,994.96,0.06,0.00,1.00,405,0
139469,22.53,994.97,0.06,0.00,1.00,407,0
140528,22.53,994.98,0.06,0.00,1.00,415,0
141590,22.53,994.99,0.06,0.00,1.00,411,0
142649,22.53,995.00,0.06,0.00,1.00,412,0
143708,22.54,994.99,0.06,0.00,1.00,402,0
144769,22.54,994.97,0.06,0.00,1.00,411,0
145828,22.56,994.95,0.06,0.00,1.00,400,0
146887,22.56,994.95,0.06,0.00,1.00,400,0
147946,22.56,994.96,0.06,0.00,1.00,400,0
149005,22.56,994.97,0.06,0.00,1.00,400,0
150064,22.56,994.98,0.06,0.00,1.00,404,0
151123,22.57,994.99,0.06,0.00,1.00,411,0
152182,22.58,994.99,0.06,0.00,1.00,400,0
153241,22.58,994.99,0.06,0.00,1.00,412,0
154300,22.58,994.99,0.06,0.00,1.00,400,0
155359,22.58,994.99,0.06,0.00,1.00,410,0
156418,22.59,994.99,0.06,0.00,1.00,400,0
157477,22.58,994.99,0.06,0.00,1.00,400,0
158533,22.60,994.99,0.06,0.00,1.00,400,0
159592,22.60,994.99,0.06,0.00,1.00,404,0
160651,22.60,994.98,0.06,0.00,1.00,401,0
161710,22.61,994.98,0.06,0.00,1.00,400,0
162769,22.62,994.99,0.06,0.00,1.00,400,0
163828,22.61,994.99,0.06,0.00,1.00,407,0
164887,22.61,994.98,0.06,0.00,1.00,406,0
165946,22.62,994.97,0.06,0.00,1.00,408,0
167005,22.62,994.96,0.06,0.00,1.00,405,0
168064,22.63,994.96,0.06,0.00,1.00,400,0
169123,22.64,994.97,0.06,0.00,1.00,405,0
170182,22.65,994.97,0.06,0.00,1.00,400,0
171248,22.66,994.98,0.06,0.00,1.00,404,0
172307,22.65,994.98,0.06,0.00,1.00,404,0
173366,22.66,994.98,0.06,0.00,1.00,404,0
174425,22.66,994.98,0.06,0.00,1.00,404,0
175484,22.68,994.98,0.06,0.00,1.00,409,5
176543,22.66,994.97,0.06,0.00,1.00,400,0
177602,22.68,994.96,0.06,0.00,1.00,414,0
178661,22.69,994.97,0.06,0.00,1.00,405,0
179720,22.70,994.98,0.06,0.00,1.00,407,1
180779,22.69,994.97,0.06,0.00,1.00,411,1
181838,22.70,994.97,0.06,0.00,1.00,401,0
182897,22.70,994.97,0.06,0.00,1.00,403,0
183958,22.71,994.97,0.06,0.00,1.00,400,0
185017,22.70,994.98,0.06,0.00,1.00,407,5
186076,22.71,994.98,0.06,0.00,1.00,404,0
187135,22.72,994.98,0.06,0.00,1.06,402,0
188194,22.73,994.98,0.06,0.00,1.00,400,0
189253,22.73,994.98,0.06,0.00,1.00,400,0
190312,22.74,994.99,0.06,0.00,1.00,407,0
191371,22.73,994.99,0.06,0.00,1.00,400,0
192430,22.74,994.98,0.06,0.00,1.00,411,0
193489,22.74,994.99,0.06,0.00,1.00,409,0
194548,22.75,995.00,0.06,0.00,1.00,416,0
195607,22.76,995.01,0.06,0.00,1.00,422,0
196668,22.74,995.00,0.06,0.00,1.00,418,0
