Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1699,23.92,172.12,0.06,0.06,0.00,400,0
2765,23.86,172.12,-0.69,0.94,-0.69,400,0
3832,23.85,172.12,0.44,0.31,1.31,400,0
4899,23.83,172.12,0.25,2.81,1.69,400,0
5966,23.78,172.11,0.06,0.06,0.81,400,0
7033,23.77,172.11,-0.25,0.19,0.62,400,0
8100,23.70,172.11,0.19,0.13,0.88,400,0
9167,23.63,172.11,0.00,-0.06,0.75,400,0
10234,23.58,172.10,0.19,-0.06,0.81,400,0
11301,23.61,172.11,0.13,-0.06,0.81,400,0
12368,23.59,172.10,0.19,0.13,1.00,400,0
13437,23.61,172.11,0.06,0.00,1.00,400,0
14504,23.59,172.10,0.00,0.13,1.19,400,0
15572,23.58,172.10,-0.13,0.13,1.12,400,0
16639,23.54,172.10,0.06,-0.06,1.12,400,0
17706,23.55,172.10,-0.13,0.00,0.94,400,0
18773,23.56,172.10,0.13,-0.13,1.00,400,0
19841,23.54,172.10,0.13,0.00,1.06,400,0
20908,23.57,172.10,-0.06,0.13,1.06,400,0
21975,23.77,172.11,0.00,0.06,0.88,400,0
23042,23.49,172.10,0.13,0.00,1.19,400,0
24116,23.46,172.10,0.06,0.00,1.19,400,0
25183,23.36,172.09,0.19,0.06,1.31,400,0
26250,23.18,172.08,0.31,0.13,1.19,400,0
27322,23.02,172.07,0.06,0.06,1.25,400,0
28389,22.98,172.07,0.06,0.06,1.37,400,0
29456,22.83,172.06,0.13,0.06,1.50,400,0
30523,22.67,172.06,0.06,-0.06,1.31,400,0
31591,22.65,172.05,0.00,0.00,1.50,400,0
32658,22.83,172.06,0.00,0.06,1.44,400,1
33725,22.79,172.06,0.06,0.00,1.44,400,0
34792,22.82,172.06,0.00,0.00,1.44,400,0
35860,22.83,172.06,0.00,0.13,1.50,400,0
36927,22.82,172.06,0.00,0.06,1.56,400,0
37994,22.79,172.06,0.06,0.06,1.50,400,0
39061,22.80,172.06,0.00,0.19,1.06,400,0
40130,22.75,172.06,-0.06,0.19,1.81,400,0
41197,22.36,172.04,0.06,0.13,1.37,400,0
42264,22.30,172.04,0.19,0.19,1.81,400,0
43331,22.38,172.04,0.13,0.06,1.75,400,0
44399,22.20,172.03,0.13,0.13,1.44,400,0
45466,21.97,172.02,0.19,0.13,1.50,400,0
46533,21.76,172.01,0.13,-0.13,1.50,400,0
47600,21.75,172.01,0.00,0.06,1.87,400,0
48668,21.79,172.01,0.06,0.13,1.31,400,0
49735,21.68,172.00,0.06,0.00,1.25,400,4
50802,21.72,172.00,-0.06,-0.06,1.62,400,0
51869,21.75,172.01,0.00,0.19,1.50,400,0
52941,21.80,172.01,0.06,0.13,1.50,400,0
54010,21.83,172.01,-0.06,0.13,1.37,400,2
55077,22.03,172.02,0.06,0.13,1.37,400,0
56144,21.75,172.01,0.06,0.06,1.44,400,0
57211,21.51,171.99,0.13,0.19,1.50,400,0
58278,21.06,171.97,0.06,0.19,1.44,400,0
59345,20.84,171.96,0.13,0.13,1.62,400,0
60412,20.61,171.95,0.06,0.13,1.50,400,0
61479,20.51,171.94,0.00,0.06,1.56,400,0
62546,20.77,171.95,0.00,0.06,1.50,400,0
63613,21.01,171.97,0.00,0.00,1.50,400,0
64680,20.83,171.96,0.00,0.13,1.50,400,1
65747,20.66,171.95,0.06,0.19,1.37,400,0
66816,20.58,171.94,0.00,0.06,1.44,400,0
67883,20.55,171.94,-0.06,0.00,1.62,400,0
68950,20.57,171.94,0.00,0.13,1.69,400,0
70017,20.59,171.94,0.06,0.13,1.37,400,0
71084,20.30,171.93,0.13,0.13,1.56,400,0
72151,19.92,171.91,0.06,0.06,1.44,400,0
73218,19.85,171.90,0.13,0.06,1.37,400,0
74285,19.64,171.89,0.06,0.06,1.31,400,0
75352,19.53,171.89,0.06,0.06,1.44,400,0
76419,19.25,171.87,0.06,0.13,1.50,400,0
77486,19.18,171.87,0.13,0.00,1.50,400,0
78553,19.29,171.87,0.00,0.13,1.56,400,0
79622,19.28,171.87,0.00,0.06,1.44,400,0
80689,19.18,171.87,0.06,0.06,1.50,400,0
81759,19.21,171.87,0.00,0.06,1.44,400,5
82826,19.20,171.87,0.00,0.06,1.31,400,0
83893,19.26,171.87,0.00,0.13,1.50,400,0
84961,19.45,171.88,0.13,0.19,1.56,400,0
86028,19.41,171.88,0.06,0.13,1.62,400,0
87095,19.48,171.88,0.06,0.13,1.56,400,0
88162,19.15,171.87,0.06,0.13,1.56,400,0
89230,18.84,171.85,0.00,0.25,1.44,400,0
90297,18.56,171.84,0.06,0.13,1.69,400,0
91364,18.35,171.82,0.13,0.06,1.44,400,0
92431,18.40,171.83,0.13,0.13,1.31,400,0
93500,18.19,171.82,0.06,0.06,1.31,400,0
94567,18.18,171.82,0.00,0.00,1.44,400,0
95634,18.29,171.82,0.13,0.06,1.31,400,0
96701,18.51,171.83,0.00,0.00,1.44,400,4
97768,18.49,171.83,0.00,0.13,1.31,400,0
98835,18.54,171.83,0.06,0.06,1.19,400,0
99902,18.14,171.81,0.06,0.06,1.37,400,0
100969,17.98,171.80,0.13,0.06,1.31,400,0
102036,17.57,171.78,0.06,0.13,1.31,400,0
103103,17.42,171.77,0.00,0.13,1.75,400,0
104170,17.24,171.76,0.06,0.00,1.50,400,0
105237,17.32,171.77,0.00,0.06,1.56,400,0
106306,17.15,171.76,-0.06,0.00,1.44,400,0
107373,17.34,171.77,0.13,0.06,0.94,400,0
108440,17.41,171.77,0.06,-0.06,1.37,400,0
109507,17.42,171.77,0.00,0.19,1.56,400,0
110574,17.44,171.78,0.06,0.13,1.31,400,0
111645,17.45,171.78,0.06,0.00,1.50,400,0
112712,17.43,171.77,-0.06,0.13,1.19,400,0
113779,17.46,171.78,0.06,0.00,1.12,400,0
114846,17.48,171.78,0.06,0.00,1.37,400,0
115913,17.50,171.78,0.13,0.06,1.25,400,0
116980,17.51,171.78,0.06,0.00,1.56,406,0
118047,17.52,171.78,0.00,0.06,1.37,406,0
119116,17.52,171.78,0.06,0.13,1.19,400,0
120183,17.58,171.78,0.00,0.06,1.44,400,0
121250,17.62,171.78,0.00,0.13,1.19,405,0
122318,17.82,171.80,0.06,0.06,1.25,406,0
123385,17.72,171.79,0.06,0.31,1.94,400,0
124452,17.61,171.78,0.19,0.06,1.37,400,0
125519,17.14,171.76,0.06,0.06,1.37,400,0
126587,16.68,171.73,0.06,0.19,1.31,400,0
127654,16.33,171.72,0.00,0.06,1.25,400,0
128721,16.28,171.71,0.06,0.13,1.56,400,0
129788,16.09,171.70,0.06,0.19,1.37,400,0
130856,16.38,171.72,0.06,0.06,1.19,403,0
131923,16.49,171.72,0.06,0.19,1.25,400,0
132992,16.34,171.72,0.06,0.06,1.19,400,0
134060,16.17,171.71,0.00,-0.06,1.44,400,0
135127,16.25,171.71,0.06,0.13,1.44,400,0
136194,16.17,171.71,-0.06,0.06,1.37,400,0
137261,15.96,171.70,0.00,0.13,1.31,400,0
138329,15.71,171.68,0.06,0.06,1.25,400,0
139396,15.49,171.67,0.00,0.06,1.31,400,0
140463,15.32,171.66,0.06,0.13,1.37,400,0
141535,14.88,171.65,0.06,0.06,1.19,400,0
142603,14.61,171.62,0.06,0.06,1.25,400,0
143670,14.37,171.61,0.06,0.00,1.31,400,0
144737,14.25,171.60,0.06,0.06,1.19,400,0
145806,14.31,171.61,0.06,0.13,1.25,400,0
146874,14.18,171.60,0.13,0.00,1.44,400,0
147941,13.84,171.58,0.13,0.13,1.25,400,0
149008,13.42,171.56,0.06,-0.06,1.44,400,0
150075,13.46,171.56,0.06,0.13,1.31,400,0
151143,13.73,171.58,0.00,0.00,1.31,400,0
152210,13.81,171.58,0.00,0.06,1.25,400,0
153277,13.84,171.58,0.06,0.06,1.12,400,0
154344,13.90,171.59,0.00,0.00,1.31,400,0
155412,13.93,171.59,0.06,0.06,1.37,400,0
156479,13.98,171.59,0.00,0.00,1.50,400,0
157546,14.00,171.59,0.00,0.19,1.37,400,0
158615,14.15,171.59,0.06,0.06,1.19,400,0
159682,14.01,171.59,0.06,0.06,1.31,400,0
160749,14.02,171.59,0.06,0.19,1.25,400,0
161816,14.07,171.60,0.06,0.00,1.25,400,0
162884,14.03,171.59,0.00,0.13,1.69,400,0
163951,14.02,171.59,0.06,0.19,1.19,400,0
165018,13.95,171.59,0.00,0.00,1.31,400,0
166085,14.02,171.59,0.00,0.25,1.25,400,0
167153,13.88,171.58,0.13,0.00,1.12,400,0
168220,13.88,171.58,0.00,0.13,1.44,400,0
169287,13.95,171.59,0.06,0.19,1.12,400,0
170358,13.81,171.58,0.00,0.06,1.06,401,0
171427,13.74,171.58,0.00,0.13,1.37,400,0
172494,13.60,171.57,0.13,0.06,1.31,400,0
173562,13.32,171.55,0.00,0.06,1.31,400,0
174629,13.46,171.56,0.13,0.13,1.25,400,0
175697,12.63,171.52,0.06,0.06,1.12,400,0
176764,12.48,171.51,0.00,0.13,1.25,400,0
177831,12.07,171.49,0.06,0.06,1.31,400,0
178899,11.78,171.47,0.06,0.06,1.25,400,0
179967,11.51,171.46,0.06,0.06,1.31,400,0
181034,11.27,171.45,0.06,0.06,1.31,400,0
182101,10.94,171.43,0.06,0.06,1.31,400,0
183168,10.85,171.42,0.00,0.00,1.31,400,0
184238,10.92,171.43,0.06,0.06,1.25,400,0
185305,11.11,171.44,0.06,0.13,1.50,400,0
186372,11.26,171.44,0.06,0.13,1.44,400,0
187439,11.31,171.45,0.06,0.06,1.37,400,0
188506,11.34,171.45,0.06,0.06,1.50,400,0
189573,11.37,171.45,0.00,0.00,1.31,400,0
190640,11.40,171.45,0.06,0.06,1.19,400,0
191707,11.41,171.45,0.06,0.00,1.37,400,0
192774,11.37,171.45,0.00,0.06,1.19,400,0
193841,11.47,171.46,0.00,0.06,1.12,400,0
194908,11.55,171.46,0.06,0.06,1.37,400,0
195975,11.64,171.46,0.00,0.06,1.19,400,0
197042,11.67,171.47,0.06,0.06,1.19,400,0
198108,11.58,171.46,0.06,0.06,1.37,400,0
199175,11.60,171.46,0.06,0.13,1.44,400,0
200247,11.18,171.44,0.00,0.13,1.25,400,0
201314,10.73,171.42,0.13,0.06,1.50,400,0
202381,10.36,171.40,0.13,0.06,1.19,400,0
203448,9.91,171.37,0.06,0.06,1.12,400,0
204515,9.64,171.36,0.06,0.19,1.62,400,0
205582,9.28,171.34,0.13,0.00,1.50,400,0
206649,9.03,171.33,0.06,0.06,1.12,400,0
207716,8.94,171.32,0.00,0.13,1.31,400,0
208783,8.58,171.30,0.19,0.06,1.31,400,0
209850,8.25,171.28,0.06,0.00,1.06,400,0
210919,8.02,171.27,0.06,0.06,1.19,400,0
211986,7.79,171.26,0.13,0.06,1.25,400,0
