Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1822,22.63,874.75,0.06,0.06,1.00,400,0
2888,22.64,874.75,0.06,0.06,1.00,400,0
3955,22.63,874.75,0.06,0.06,1.00,400,0
5022,22.64,874.76,0.06,0.06,1.00,400,0
6089,22.63,874.75,0.06,0.06,0.94,400,0
7156,22.64,874.75,0.06,0.06,1.00,400,0
8223,22.63,874.75,0.06,0.06,1.00,400,0
9290,22.64,874.76,0.06,0.06,1.00,400,0
10357,22.64,874.75,0.06,0.06,1.00,400,0
11424,22.63,874.75,0.06,0.06,1.00,400,0
12491,22.64,874.75,0.06,0.06,1.00,400,0
13560,22.65,874.75,0.06,0.06,1.00,400,0
14627,22.64,874.75,0.06,0.06,1.00,400,0
15694,22.64,874.76,0.06,0.00,1.00,400,0
16761,22.65,874.75,0.06,0.06,1.00,400,0
17828,22.65,874.75,0.06,0.06,1.00,400,0
18895,22.65,874.75,0.06,0.06,0.94,400,0
19962,22.66,874.75,0.06,0.00,1.00,400,0
21029,22.66,874.75,0.06,0.06,1.00,400,0
22096,22.66,874.75,0.06,0.06,1.00,400,0
23163,22.66,874.75,0.06,0.06,1.00,400,0
24230,22.66,874.75,0.06,0.06,1.00,400,0
25302,22.67,874.75,0.06,0.06,1.00,400,0
26369,22.66,874.75,0.06,0.06,1.00,400,0
27438,22.65,874.75,0.06,0.06,1.00,400,0
28506,22.66,874.75,0.06,0.06,1.00,400,0
29574,22.65,874.75,0.06,0.06,1.00,400,0
30641,22.65,874.75,0.06,0.06,1.00,400,0
31708,22.65,874.75,0.06,0.06,1.00,400,0
32775,22.66,874.75,0.06,0.06,1.00,400,0
33843,22.66,874.75,0.06,0.06,1.00,400,0
34911,22.65,874.74,0.06,0.06,1.00,400,0
35978,22.67,874.75,0.06,0.06,1.00,403,0
37046,22.66,874.75,0.06,0.06,1.00,400,0
38114,22.66,874.75,0.06,0.06,0.94,404,0
39181,22.67,874.75,0.06,0.00,1.00,407,3
40250,22.68,874.75,0.06,0.06,1.00,416,1
41318,22.67,874.75,0.06,0.06,1.00,404,0
42385,22.69,874.75,0.06,0.06,1.00,400,0
43452,22.68,874.73,0.06,0.06,1.00,400,1
44519,22.69,874.74,0.06,0.06,1.00,404,0
45587,22.69,874.74,0.06,0.06,1.00,400,0
46654,22.68,874.75,0.06,0.06,1.00,400,0
47721,22.68,874.75,0.06,0.06,1.00,400,0
48788,22.69,874.75,0.06,0.06,1.00,406,0
49856,22.70,874.75,0.06,0.06,1.00,406,0
50923,22.71,874.75,0.06,0.06,1.00,419,0
51990,22.71,874.75,0.06,0.06,1.00,400,0
53057,22.70,874.75,0.06,0.06,1.00,400,0
54131,22.70,874.75,0.06,0.06,1.00,400,0
55198,22.71,874.75,0.06,0.06,1.00,400,0
56265,22.71,874.75,0.06,0.06,1.00,400,0
57332,22.71,874.75,0.06,0.06,1.00,400,0
58400,22.71,874.75,0.06,0.06,1.00,400,5
59467,22.73,874.75,0.06,0.06,1.00,400,0
60534,22.73,874.75,0.06,0.06,1.00,405,7
61601,22.72,874.73,0.06,0.06,1.00,411,0
62669,22.72,874.75,0.06,0.06,1.00,401,5
63736,22.71,874.74,0.06,0.06,1.00,400,0
64803,22.72,874.75,0.06,0.06,1.00,400,0
65870,22.72,874.75,0.06,0.06,1.00,400,0
66939,22.73,874.75,0.06,0.06,1.00,400,0
68006,22.73,874.75,0.06,0.00,1.00,412,0
69073,22.74,874.75,0.06,0.06,1.00,402,0
70141,22.74,874.75,0.06,0.06,1.00,400,0
71208,22.74,874.75,0.06,0.06,1.00,400,0
72275,22.73,874.75,0.06,0.06,1.00,400,0
73342,22.73,874.75,0.06,0.06,1.00,400,0
74410,22.73,874.74,0.06,0.06,1.00,403,0
75477,22.72,874.75,0.06,0.06,1.00,400,2
76544,22.72,874.76,0.06,0.06,1.00,427,10
77611,22.73,874.75,0.06,0.06,1.00,414,1
78679,22.73,874.75,0.06,0.06,1.00,403,0
79746,22.73,874.75,0.06,0.06,1.00,400,0
80815,22.73,874.75,0.06,0.06,1.00,400,3
81882,22.75,874.75,0.06,0.06,1.00,404,0
82950,22.73,874.75,0.06,0.06,1.00,400,0
84022,22.73,874.75,0.06,0.06,1.00,407,1
85089,22.74,874.75,0.06,0.06,1.00,400,0
86157,22.74,874.76,0.06,0.06,1.00,400,5
87225,22.73,874.75,0.06,0.06,1.00,400,0
88292,22.73,874.74,0.06,0.06,1.00,401,0
89359,22.73,874.75,0.06,0.06,1.00,400,0
90427,22.75,874.75,0.06,0.06,1.00,408,4
91495,22.74,874.76,0.06,0.06,1.00,401,0
92562,22.74,874.75,0.06,0.06,1.00,407,9
93631,22.74,874.75,0.06,0.06,1.00,400,0
94698,22.73,874.75,0.06,0.06,1.00,400,0
