Time,Pressure,Temperature,Acell X,Acell Y,Acell Z,CO2 equivelent,TVOC
1805,27.16,994.46,0.06,0.00,1.00,400,0
2871,27.15,994.46,0.13,0.00,0.94,400,0
3938,27.15,994.46,0.06,0.00,1.00,400,0
5005,27.14,994.47,0.06,0.00,1.00,400,0
6072,27.15,994.47,0.06,0.00,1.00,400,0
7139,27.16,994.47,0.06,0.00,1.00,400,0
8206,27.17,994.47,0.06,0.06,1.00,400,0
9273,27.14,994.47,0.06,0.00,0.94,400,0
10340,27.14,994.47,0.06,0.00,1.00,400,0
11407,27.12,994.47,0.06,0.00,1.00,400,0
12474,27.12,994.47,0.06,0.00,1.00,400,0
13543,27.12,994.45,0.06,0.06,1.06,400,0
14610,27.13,994.46,0.06,0.00,1.00,400,0
15678,27.13,994.45,0.56,0.94,5.06,400,0
16745,27.10,994.46,0.00,0.00,1.00,400,0
17812,27.10,994.46,0.06,0.00,1.00,400,0
18879,27.08,994.45,0.06,0.06,1.00,400,0
19947,27.08,994.45,0.06,0.00,1.00,400,0
21014,27.05,994.46,0.06,0.00,1.00,400,0
22081,27.05,994.46,0.06,0.00,0.75,400,0
23148,27.06,994.44,0.19,-0.13,1.00,402,0
24216,27.05,994.44,0.31,0.06,1.12,400,0
25289,27.05,994.43,0.56,0.31,0.69,415,0
26356,27.05,994.43,0.31,0.13,0.94,421,0
27425,27.08,994.45,0.37,0.13,0.88,431,0
28493,27.04,994.45,0.25,-0.13,0.88,430,0
29560,27.05,994.45,0.37,-0.19,0.94,425,0
30627,27.04,994.45,0.31,-0.13,0.88,439,0
31694,27.02,994.44,0.37,-0.13,0.94,429,0
32762,27.06,994.45,0.37,-0.19,0.88,430,0
33829,27.07,994.46,0.31,-0.13,0.94,429,0
34896,27.08,994.46,0.31,-0.13,0.94,414,0
35964,27.07,994.46,0.37,-0.19,0.94,422,0
37032,27.08,994.46,0.19,-0.19,0.94,429,0
38099,27.09,994.46,0.25,-0.19,0.94,427,0
39166,27.10,994.47,0.31,-0.19,1.00,432,0
40236,27.10,994.47,0.31,-0.19,0.94,425,0
41303,27.10,994.46,0.31,-0.19,0.94,434,0
42370,27.11,994.46,0.25,-0.19,0.94,433,0
43437,27.10,994.45,0.25,-0.13,1.00,416,0
44505,27.11,994.45,0.31,-0.19,0.94,423,0
45572,27.11,994.45,0.25,-0.31,1.06,413,0
46639,27.10,994.45,0.00,-0.37,0.94,423,0
47706,27.12,994.46,0.00,-0.37,0.94,424,0
48774,27.12,994.47,0.06,-0.37,1.00,439,5
49841,27.10,994.47,0.00,-0.44,1.00,428,0
50908,27.10,994.47,0.13,-0.37,0.94,439,1
51975,27.10,994.47,0.06,-0.37,0.94,441,0
53044,27.10,994.47,0.13,-0.31,0.94,447,6
54118,27.11,994.45,0.13,-0.31,1.00,433,1
55186,27.08,994.45,0.13,-0.31,1.00,423,0
56253,27.09,994.46,0.13,-0.31,0.94,435,0
57320,27.08,994.49,0.13,0.00,1.12,440,8
58387,27.10,994.50,0.06,0.06,1.00,433,0
59454,27.10,994.50,0.00,0.00,1.00,432,1
60521,27.11,994.51,-0.62,-0.06,0.50,421,0
61589,27.08,994.50,-0.75,0.06,0.69,439,2
62656,27.07,994.51,-0.81,0.06,0.56,427,0
63723,27.06,994.51,-0.81,0.06,0.56,419,0
64790,27.05,994.50,-0.81,0.06,0.56,402,0
65858,27.04,994.50,-0.75,0.06,0.69,410,0
66927,27.04,994.49,-0.62,0.00,0.75,406,4
67994,27.02,994.49,-0.50,0.00,0.88,411,1
69061,27.02,994.48,-0.56,0.06,0.88,422,1
70128,27.01,994.49,-0.56,0.06,0.81,412,0
71195,27.01,994.49,-0.56,0.06,0.81,406,0
72262,27.00,994.49,-0.56,0.06,0.88,400,0
73329,26.98,994.49,-0.56,0.06,0.88,412,3
74396,26.98,994.50,-0.56,0.00,0.88,407,0
75463,26.98,994.50,-0.56,0.06,0.81,401,0
76530,26.98,994.49,-0.56,0.06,0.81,409,2
77597,26.96,994.48,-0.56,0.00,0.81,401,0
78664,26.97,994.48,-0.56,0.06,0.81,400,0
79733,26.96,994.48,-0.56,0.06,0.81,404,0
80800,26.97,994.46,-0.56,0.13,0.88,421,0
81867,26.95,994.48,-0.56,0.06,0.81,446,10
82937,26.93,994.48,-0.44,-0.13,1.31,454,3
84005,26.92,994.47,0.06,0.00,0.94,466,12
85073,26.88,994.48,-0.19,0.00,0.88,476,18
86140,26.88,994.49,-0.56,0.06,0.81,466,28
87207,26.90,994.49,-0.56,0.06,0.81,476,24
88274,26.90,994.49,-0.50,0.06,0.88,474,24
89341,26.88,994.48,-0.50,0.00,0.88,449,25
90409,26.88,994.48,-0.50,0.06,0.88,434,18
91477,26.87,994.48,-0.31,-0.13,1.31,423,21
92547,26.87,994.47,0.37,-0.13,1.12,414,4
93614,26.88,994.48,0.25,-0.13,0.81,422,8
94681,26.89,994.49,0.13,-1.00,0.25,430,11
95748,26.90,994.48,0.13,-0.94,-0.31,422,0
96815,26.89,994.46,0.13,-1.00,-0.37,445,6
97882,26.87,994.46,0.13,-1.00,-0.37,436,3
98949,26.85,994.46,0.06,-0.94,-0.50,453,11
